Merged_Cluster,Frequency_items,Longevity_months,Recency_in_weeks,Flaged,Promotional_percentage,Beer,Bottled_Water,Bread,Meat,Dairy,Fresh_Foods,Frozen_Foods,Fruit_Beverages,Pastry,Sodas,Toiletries,Veggies,Wines,ZIP_Missing,ZIP_8,ZIP_0,ZIP_4,ZIP_Others,Relevance_Priority,Has_Returns,Education_Years,Total_Profit,Buying_Behaviour_Segment,Cluster_HDBSCAN,Merged_Cluster
0.0,38.45,14.13,10.82,0.0,12.94,63.89,61.93,32.46,4.31,34.38,83.65,115.23,68.08,32.66,47.88,22.57,23.92,14.47,0.01,0.59,0.35,0.05,0.0,0.94,0.04,13.14,605.42,0.6,3.57,0.0
1.0,38.13,13.75,11.57,0.0,11.37,44.38,44.12,19.19,0.39,73.93,30.89,29.62,20.03,47.97,27.26,17.82,17.51,13.8,0.01,0.53,0.42,0.04,0.0,0.95,0.02,13.32,386.9,3.01,3.92,1.0
2.0,38.28,14.18,11.05,0.0,12.06,45.99,45.14,28.71,0.78,83.78,36.12,36.26,21.84,74.54,39.45,22.02,48.58,43.3,0.01,0.59,0.37,0.04,0.0,0.95,0.02,13.22,526.49,2.09,3.43,2.0
3.0,38.28,13.92,11.34,0.0,11.94,45.52,44.8,29.95,0.67,31.18,104.35,32.75,91.63,114.49,33.13,13.96,18.23,7.55,0.01,0.55,0.39,0.04,0.0,0.94,0.03,13.26,568.2,4.0,3.81,3.0
4.0,38.1,13.76,11.66,0.0,11.35,83.24,83.48,29.51,0.32,29.54,29.23,106.52,19.02,30.29,24.88,18.62,14.43,17.9,0.01,0.52,0.42,0.04,0.0,0.94,0.02,13.35,486.97,0.0,4.06,4.0
5.0,37.92,13.62,11.74,0.0,11.47,44.31,44.08,29.52,0.32,29.49,101.67,57.2,92.01,30.03,21.54,17.83,15.63,5.7,0.01,0.51,0.44,0.04,0.0,0.94,0.02,13.38,489.34,1.0,4.06,5.0
