Macro_Cluster,Frequency_items,Longevity_months,Recency_in_weeks,Flaged,Promotional_percentage,Beer,Bottled_Water,Bread,Meat,Dairy,Fresh_Foods,Frozen_Foods,Fruit_Beverages,Pastry,Sodas,Toiletries,Veggies,Wines,ZIP_Missing,ZIP_8,ZIP_0,ZIP_4,ZIP_Others,Relevance_Priority,Has_Returns,Education_Years,Total_Profit,Micro_Cluster,Macro_Cluster
-1,41.47,15.77,8.35,0.02,30.12,79.21,54.51,86.22,78.71,129.51,104.44,149.47,80.68,61.71,139.86,22.31,38.22,23.35,0.0,0.8,0.2,0.0,0.0,0.74,0.44,12.45,1048.19,-1.0,-1.0
0,38.12,13.62,11.39,0.0,11.2,57.66,57.31,27.17,0.56,44.7,58.9,68.48,46.89,49.79,31.19,18.72,20.34,15.38,0.0,0.58,0.42,0.0,0.0,1.0,0.0,13.4,497.1,5.0,0.0
1,39.76,15.18,11.61,0.0,54.28,61.48,59.79,27.7,1.69,42.15,62.54,80.34,51.18,55.55,34.64,19.45,18.49,12.75,0.0,0.63,0.37,0.0,0.0,0.99,1.0,12.88,527.73,3.0,1.0
2,38.53,13.86,11.76,0.03,0.04,58.5,57.7,27.09,0.45,44.07,58.52,69.82,47.17,49.62,30.69,19.0,18.73,15.84,0.0,0.54,0.46,0.0,0.0,0.0,0.0,12.0,497.2,4.0,2.0
3,41.31,16.03,11.27,0.0,8.4,57.93,58.34,27.38,0.55,40.18,67.09,75.88,52.86,44.62,29.38,15.97,19.2,12.81,0.0,0.0,0.0,0.0,1.0,1.0,0.0,12.81,502.19,0.0,3.0
4,37.75,17.65,11.32,0.0,11.1,57.33,57.26,27.04,0.49,44.2,60.54,69.23,48.04,50.52,31.15,18.66,19.4,14.93,0.0,0.0,0.0,1.0,0.0,0.99,0.0,12.82,498.78,2.0,4.0
5,37.84,13.98,11.43,0.0,10.59,57.52,57.65,27.04,0.37,42.93,61.4,69.19,49.22,49.61,30.14,18.99,18.28,13.94,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.32,496.27,1.0,5.0
