Cluster_HDBSCAN,Frequency_items,Longevity_months,Recency_in_weeks,Flaged,Promotional_percentage,Beer,Bottled_Water,Bread,Meat,Dairy,Fresh_Foods,Frozen_Foods,Fruit_Beverages,Pastry,Sodas,Toiletries,Veggies,Wines,ZIP_Missing,ZIP_8,ZIP_0,ZIP_4,ZIP_Others,Relevance_Priority,Has_Returns,Education_Years,Total_Profit,Buying_Behaviour_Segment,Cluster_HDBSCAN,Merged_Cluster
-1.0,43.17,15.04,9.91,0.0,42.28,59.99,54.05,36.5,13.52,60.51,67.86,85.04,53.15,58.93,53.11,20.56,32.09,19.63,0.0,0.65,0.32,0.0,0.03,0.98,0.38,13.09,614.94,1.81,-1.0,1.61
0.0,37.84,13.98,11.43,0.0,10.59,57.52,57.65,27.04,0.37,42.93,61.4,69.19,49.22,49.61,30.14,18.99,18.28,13.94,1.0,0.0,0.0,0.0,0.0,1.0,0.0,13.32,496.27,1.66,0.0,2.34
1.0,37.75,17.65,11.32,0.0,11.12,57.33,57.27,27.04,0.49,44.19,60.55,69.26,48.04,50.51,31.15,18.66,19.4,14.94,0.0,0.0,0.0,1.0,0.0,0.98,0.0,12.82,498.82,1.67,1.0,2.23
2.0,38.52,13.91,11.75,0.03,0.04,58.61,57.73,27.14,0.45,44.01,58.78,70.09,47.49,49.7,30.72,18.98,18.73,15.76,0.0,0.55,0.45,0.0,0.0,0.0,0.02,12.0,498.18,1.64,2.0,2.26
3.0,38.87,10.92,11.92,0.0,11.09,57.66,57.34,27.03,0.37,44.41,58.3,67.45,46.83,48.38,30.17,18.45,18.61,14.89,0.0,0.0,1.0,0.0,0.0,1.0,0.0,13.77,489.89,1.65,3.0,2.38
4.0,37.11,15.57,11.12,0.0,10.07,57.96,57.76,27.21,0.6,44.37,59.27,69.29,46.99,50.21,31.41,18.78,20.42,15.22,0.0,1.0,0.0,0.0,0.0,1.0,0.01,13.13,499.48,1.64,4.0,2.25
